# V18 4000句训练数据 (自动生成)
# 格式: 编号 | 词:角色 词:角色 ...

1059|药物:subj 看着:verb 高手:obj
105|总兵:subj 学士:verb 工人:obj
1060|每人:subj 开通:verb 出兵:obj
1061|教师:subj 打仗:verb 地主:obj
1062|村子:subj 关于:verb 诗人:obj
1063|居民:subj 写作:verb 仪器:obj
1064|长子:subj 吃饭:verb 植物:obj
1065|市民:subj 打着:verb 液体:obj
1066|丫头:subj 开创:verb 女人:obj
1067|人生:subj 学员:verb 总长:obj
1068|身子:subj 开拓:verb 拳头:obj
1069|僧人:subj 学习:verb 臣民:obj
106|王家:subj 学历:verb 擅长:obj
1070|官家:subj 推广:verb 自主:obj
1071|物体:subj 学院:verb 弟子:obj
1072|肚子:subj 看看:verb 团长:obj
1073|汉人:subj 打仗:verb 考生:obj
1074|延长:subj 打破:verb 一手:obj
1075|黑人:subj 推动:verb 女人:obj
1076|兵器:subj 走近:verb 文人:obj
1077|磕头:subj 开出:verb 学员:obj
1078|拳头:subj 抓住:verb 乐器:obj
1079|地主:subj 关节:verb 筷子:obj
107|道人:subj 开国:verb 胡子:obj
1080|居民:subj 打败:verb 自主:obj
1081|工匠:subj 听到:verb 律师:obj
1082|分工:subj 抓住:verb 大师:obj
1083|亲人:subj 看待:verb 面子:obj
1084|村民:subj 推行:verb 花生:obj
1085|宦官:subj 学位:verb 道具:obj
1086|礼物:subj 写下:verb 委员:obj
1087|成员:subj 写作:verb 客人:obj
1088|个体:subj 学院:verb 索性:obj
1089|长子:subj 说明:verb 军长:obj
108|卫生:subj 说道:verb 好生:obj
1090|妹子:subj 说出:verb 双手:obj
1091|在家:subj 打击:verb 集体:obj
1092|选手:subj 学士:verb 庭长:obj
1093|诗人:subj 关闭:verb 处长:obj
1094|圈子:subj 打扮:verb 毒性:obj
1095|漫长:subj 看出:verb 对手:obj
1096|古人:subj 打扮:verb 公民:obj
1097|出兵:subj 拉开:verb 发生:obj
1098|孩子:subj 听取:verb 植物:obj
1099|组长:subj 开拓:verb 农民:obj
109|汉人:subj 看过:verb 打工:obj
10|尸体:subj 写作:verb 作家:obj
1100|擅长:subj 开通:verb 花生:obj
1101|陌生:subj 看待:verb 人工:obj
1102|门人:subj 走来:verb 顺手:obj
1103|文物:subj 学校:verb 整体:obj
1104|器官:subj 打着:verb 官兵:obj
1105|旅客:subj 打败:verb 粒子:obj
1106|死者:subj 拿到:verb 影子:obj
1107|私人:subj 学说:verb 物体:obj
1108|国师:subj 抓住:verb 古人:obj
1109|势头:subj 推翻:verb 媒体:obj
110|委员:subj 说出:verb 教主:obj
1110|乘机:subj 看来:verb 兵器:obj
1111|木工:subj 开设:verb 院子:obj
1112|团体:subj 看过:verb 人体:obj
1113|分工:subj 学习:verb 摇头:obj
1114|罢工:subj 关系:verb 战友:obj
1115|骨头:subj 关键:verb 平民:obj
1116|公民:subj 学位:verb 人生:obj
1117|街头:subj 学院:verb 打工:obj
1118|一体:subj 读者:verb 平民:obj
1119|土家:subj 开支:verb 妇人:obj
111|律师:subj 开创:verb 行者:obj
1120|本人:subj 学员:verb 全体:obj
1121|分工:subj 推行:verb 手机:obj
1122|码头:subj 开会:verb 船长:obj
1123|古人:subj 打断:verb 每人:obj
1124|镇长:subj 开会:verb 开工:obj
1125|王家:subj 听到:verb 无人:obj
1126|全长:subj 开始:verb 这家:obj
1127|前者:subj 走来:verb 成长:obj
1128|玩具:subj 开辟:verb 摇头:obj
1129|成员:subj 学术:verb 大人:obj
112|黑人:subj 抓住:verb 仪器:obj
1130|司机:subj 开门:verb 全民:obj
1131|女子:subj 读书:verb 房子:obj
1132|孙子:subj 说法:verb 民兵:obj
1133|个人:subj 开门:verb 例子:obj
1134|人生:subj 跳槽:verb 低头:obj
1135|狮子:subj 学科:verb 读者:obj
1136|个人:subj 打破:verb 母亲:obj
1137|船长:subj 抓住:verb 门人:obj
1138|工匠:subj 听到:verb 镇长:obj
1139|孙子:subj 听到:verb 亲兵:obj
113|工人:subj 拿出:verb 新生:obj
1140|出兵:subj 写成:verb 刊物:obj
1141|村民:subj 打倒:verb 嫂子:obj
1142|省长:subj 看出:verb 各人:obj
1143|会长:subj 开出:verb 汉人:obj
1144|亲人:subj 推出:verb 好生:obj
1145|有机:subj 开采:verb 毒性:obj
1146|分工:subj 关于:verb 士兵:obj
1147|流体:subj 打扮:verb 礼物:obj
1148|影子:subj 开国:verb 特性:obj
1149|医生:subj 看成:verb 司机:obj
114|公民:subj 看法:verb 学者:obj
1150|家人:subj 学位:verb 太子:obj
1151|多家:subj 打扮:verb 使者:obj
1152|矿物:subj 开始:verb 学者:obj
1153|桌子:subj 开展:verb 好生:obj
1154|两家:subj 说来:verb 村子:obj
1155|人生:subj 关注:verb 刊物:obj
1156|房子:subj 关于:verb 军官:obj
1157|惊人:subj 推进:verb 见长:obj
1158|馒头:subj 说起:verb 街头:obj
1159|画家:subj 开门:verb 党员:obj
115|出生:subj 看到:verb 局长:obj
1160|晶体:subj 拉开:verb 父亲:obj
1161|大师:subj 开来:verb 仆人:obj
1162|筷子:subj 推向:verb 清兵:obj
1163|党员:subj 开设:verb 帮主:obj
1164|种子:subj 学说:verb 妇人:obj
1165|惊人:subj 看着:verb 顾客:obj
1166|镇长:subj 写下:verb 自主:obj
1167|每人:subj 关系:verb 银子:obj
1168|乘机:subj 开来:verb 食物:obj
1169|队长:subj 走过:verb 顺手:obj
116|码头:subj 打工:verb 演员:obj
1170|孙子:subj 读者:verb 法官:obj
1171|购物:subj 开口:verb 官兵:obj
1172|器官:subj 走进:verb 罢工:obj
1173|出手:subj 打听:verb 镜子:obj
1174|人人:subj 开工:verb 儒家:obj
1175|丫头:subj 打着:verb 磕头:obj
1176|亲人:subj 学士:verb 嗓子:obj
1177|作者:subj 打败:verb 外长:obj
1178|家长:subj 开封:verb 增长:obj
1179|外长:subj 看作:verb 顺手:obj
117|着手:subj 关注:verb 众人:obj
1180|作家:subj 学派:verb 例子:obj
1181|个体:subj 学士:verb 杀人:obj
1182|女子:subj 说明:verb 行者:obj
1183|法子:subj 拿出:verb 二人:obj
1184|男人:subj 说法:verb 男子:obj
1185|步兵:subj 把握:verb 木工:obj
1186|母亲:subj 打仗:verb 各家:obj
1187|液体:subj 打死:verb 肩头:obj
1188|诗人:subj 学院:verb 犯人:obj
1189|产物:subj 关心:verb 天体:obj
118|骨头:subj 拿来:verb 杀人:obj
1190|肠子:subj 喝道:verb 山头:obj
1191|乘机:subj 关联:verb 整体:obj
1192|馒头:subj 说法:verb 或者:obj
1193|乘机:subj 开拓:verb 帮主:obj
1194|开工:subj 跳槽:verb 军长:obj
1195|乘机:subj 打死:verb 人性:obj
1196|架子:subj 学会:verb 商人:obj
1197|日子:subj 推广:verb 军民:obj
1198|女子:subj 打仗:verb 狮子:obj
1199|胖子:subj 说完:verb 具体:obj
119|考生:subj 开门:verb 花生:obj
11|势头:subj 开通:verb 圈子:obj
1200|汉子:subj 推行:verb 人员:obj
1201|父子:subj 开封:verb 部长:obj
1202|儿子:subj 看着:verb 专家:obj
1203|站长:subj 走进:verb 刊物:obj
1204|房子:subj 开通:verb 个人:obj
1205|人人:subj 打着:verb 身子:obj
1206|总兵:subj 打破:verb 尸体:obj
1207|校长:subj 说明:verb 出生:obj
1208|专家:subj 开门:verb 毒性:obj
1209|馒头:subj 走上:verb 乐器:obj
120|自家:subj 开来:verb 习性:obj
1210|产物:subj 打发:verb 帽子:obj
1211|实物:subj 看出:verb 出手:obj
1212|妻子:subj 学士:verb 习性:obj
1213|嫂子:subj 走进:verb 机器:obj
1214|僧人:subj 推广:verb 一家:obj
1215|官兵:subj 学位:verb 名人:obj
1216|石头:subj 走上:verb 动手:obj
1217|娘子:subj 看到:verb 行者:obj
1218|人人:subj 看到:verb 行人:obj
1219|文物:subj 走进:verb 团子:obj
121|习性:subj 打败:verb 军长:obj
1220|国师:subj 听取:verb 舌头:obj
1221|乘机:subj 打倒:verb 医生:obj
1222|船长:subj 吃饭:verb 寡头:obj
1223|部长:subj 看到:verb 官家:obj
1224|个人:subj 学生:verb 自主:obj
1225|狮子:subj 走进:verb 自家:obj
1226|一头:subj 关闭:verb 公民:obj
1227|嫂子:subj 写成:verb 人生:obj
1228|嗓子:subj 看作:verb 群体:obj
1229|我家:subj 看成:verb 儿子:obj
122|委员:subj 写作:verb 土家:obj
1230|孔子:subj 吃惊:verb 粒子:obj
1231|会员:subj 开设:verb 机体:obj
1232|官员:subj 看法:verb 行者:obj
1233|富人:subj 关于:verb 双手:obj
1234|高手:subj 学员:verb 部长:obj
1235|大体:subj 说起:verb 抬头:obj
1236|货物:subj 开采:verb 习性:obj
1237|各人:subj 学派:verb 天子:obj
1238|生物:subj 打听:verb 漫长:obj
1239|此人:subj 说出:verb 女人:obj
123|习性:subj 听到:verb 古人:obj
1240|队长:subj 喝道:verb 器官:obj
1241|司长:subj 打击:verb 犯人:obj
1242|药物:subj 开国:verb 旅客:obj
1243|理性:subj 学者:verb 柱子:obj
1244|时机:subj 打仗:verb 器官:obj
1245|寡头:subj 推荐:verb 货物:obj
1246|法官:subj 关系:verb 自家:obj
1247|京师:subj 推送:verb 日子:obj
1248|老者:subj 关联:verb 大师:obj
1249|先生:subj 推送:verb 特性:obj
124|君主:subj 学派:verb 死者:obj
1250|动手:subj 学府:verb 最长:obj
1251|笔者:subj 说出:verb 固体:obj
1252|圈子:subj 听到:verb 玩具:obj
1253|筷子:subj 说法:verb 骑兵:obj
1254|女性:subj 开出:verb 人员:obj
1255|食物:subj 开出:verb 人家:obj
1256|人体:subj 推荐:verb 民主:obj
1257|一生:subj 打发:verb 属性:obj
1258|镇长:subj 写成:verb 电器:obj
1259|司长:subj 看成:verb 家人:obj
125|好生:subj 读者:verb 液体:obj
1260|刊物:subj 开支:verb 一手:obj
1261|外长:subj 说话:verb 器官:obj
1262|外长:subj 看作:verb 时机:obj
1263|君子:subj 开采:verb 原子:obj
1264|银子:subj 开发:verb 事物:obj
1265|妻子:subj 拿到:verb 庭长:obj
1266|个人:subj 关注:verb 龙头:obj
1267|官家:subj 推送:verb 职工:obj
1268|旅客:subj 看成:verb 前者:obj
1269|万物:subj 学员:verb 天体:obj
126|工匠:subj 走过:verb 全长:obj
1270|购物:subj 打败:verb 日子:obj
1271|在家:subj 开会:verb 男人:obj
1272|面子:subj 开口:verb 点头:obj
1273|器官:subj 开国:verb 武器:obj
1274|随机:subj 开口:verb 固体:obj
1275|新生:subj 学员:verb 在家:obj
1276|个人:subj 说起:verb 士兵:obj
1277|动物:subj 看看:verb 太子:obj
1278|顾客:subj 听取:verb 部长:obj
1279|妇人:subj 读者:verb 全长:obj
127|个体:subj 学院:verb 村子:obj
1280|动物:subj 走廊:verb 作者:obj
1281|炮兵:subj 推荐:verb 刊物:obj
1282|民主:subj 开门:verb 行人:obj
1283|全民:subj 推进:verb 生长:obj
1284|公主:subj 开展:verb 自主:obj
1285|员工:subj 拿下:verb 作家:obj
1286|夫人:subj 说话:verb 双手:obj
1287|仪器:subj 走向:verb 擅长:obj
1288|律师:subj 学术:verb 母亲:obj
1289|拱手:subj 关键:verb 属性:obj
128|顾客:subj 学院:verb 他家:obj
1290|名人:subj 开发:verb 妹子:obj
1291|分工:subj 开辟:verb 打工:obj
1292|货物:subj 开会:verb 狮子:obj
1293|汉子:subj 喝道:verb 法官:obj
1294|令人:subj 学校:verb 群体:obj
1295|毒性:subj 学者:verb 圈子:obj
1296|人体:subj 关注:verb 文人:obj
1297|骨头:subj 跳槽:verb 用人:obj
1298|名人:subj 打开:verb 文物:obj
1299|加工:subj 开封:verb 仆人:obj
129|队长:subj 关注:verb 一体:obj
12|身体:subj 拿到:verb 男人:obj
1300|帽子:subj 关闭:verb 汉人:obj
1301|院子:subj 走廊:verb 司长:obj
1302|胡子:subj 打击:verb 卫生:obj
1303|团子:subj 关心:verb 人员:obj
1304|事物:subj 学士:verb 工具:obj
1305|战友:subj 走进:verb 网友:obj
1306|一头:subj 学士:verb 气体:obj
1307|局长:subj 开口:verb 固体:obj
1308|日子:subj 打发:verb 工人:obj
1309|老人:subj 开通:verb 学员:obj
130|亲兵:subj 学生:verb 工匠:obj
1310|村子:subj 打断:verb 华人:obj
1311|他人:subj 喝酒:verb 炮兵:obj
1312|每人:subj 看过:verb 诗人:obj
1313|老头:subj 走路:verb 全体:obj
1314|师长:subj 拿下:verb 胆子:obj
1315|孔子:subj 打仗:verb 成员:obj
1316|黄家:subj 关注:verb 陶器:obj
1317|药物:subj 打开:verb 司长:obj
1318|院长:subj 推出:verb 选手:obj
1319|成人:subj 打算:verb 随手:obj
131|乡长:subj 看出:verb 穷人:obj
1320|厂长:subj 打败:verb 习性:obj
1321|兵器:subj 打断:verb 肠子:obj
1322|发生:subj 走上:verb 军民:obj
1323|口子:subj 看成:verb 房子:obj
1324|州长:subj 读书:verb 木工:obj
1325|个人:subj 写下:verb 危机:obj
1326|公主:subj 看待:verb 厂长:obj
1327|省长:subj 学府:verb 一头:obj
1328|考生:subj 开展:verb 两家:obj
1329|刊物:subj 打断:verb 这家:obj
132|索性:subj 学员:verb 木工:obj
1330|馒头:subj 学生:verb 嫂子:obj
1331|家人:subj 学校:verb 律师:obj
1332|官员:subj 开国:verb 专家:obj
1333|步兵:subj 说出:verb 穷人:obj
1334|个性:subj 喝道:verb 此人:obj
1335|面子:subj 走向:verb 挥手:obj
1336|高手:subj 走私:verb 财物:obj
1337|各人:subj 拿下:verb 球员:obj
1338|自家:subj 关联:verb 军官:obj
1339|众人:subj 打倒:verb 教主:obj
133|架子:subj 推开:verb 议员:obj
1340|局长:subj 学习:verb 客人:obj
1341|本人:subj 学府:verb 汉人:obj
1342|穷人:subj 推送:verb 民主:obj
1343|购物:subj 打败:verb 公主:obj
1344|分子:subj 关心:verb 磕头:obj
1345|僧人:subj 走廊:verb 顾客:obj
1346|人家:subj 写成:verb 回头:obj
1347|老头:subj 拿下:verb 公主:obj
1348|发生:subj 听见:verb 有人:obj
1349|犯人:subj 听取:verb 分工:obj
134|主人:subj 说来:verb 动员:obj
1350|所长:subj 开国:verb 人工:obj
1351|高手:subj 拿下:verb 司长:obj
1352|分工:subj 看作:verb 顾客:obj
1353|孩子:subj 看来:verb 选民:obj
1354|院长:subj 说出:verb 诗人:obj
1355|动物:subj 学费:verb 学员:obj
1356|两者:subj 打开:verb 人家:obj
1357|男子:subj 开支:verb 额头:obj
1358|委员:subj 说出:verb 山头:obj
1359|为主:subj 跳槽:verb 动物:obj
135|旅客:subj 走过:verb 院子:obj
1360|网友:subj 开展:verb 老师:obj
1361|玩具:subj 打工:verb 磕头:obj
1362|暗器:subj 看作:verb 穷人:obj
1363|舌头:subj 看法:verb 各人:obj
1364|点头:subj 拿出:verb 父亲:obj
1365|各家:subj 学派:verb 在家:obj
1366|万家:subj 推行:verb 额头:obj
1367|立体:subj 打死:verb 总兵:obj
1368|万物:subj 说法:verb 人人:obj
1369|作者:subj 打开:verb 危机:obj
136|流体:subj 说完:verb 身子:obj
1370|先生:subj 学派:verb 事物:obj
1371|柱子:subj 走进:verb 抬头:obj
1372|特性:subj 开通:verb 属性:obj
1373|国师:subj 拿到:verb 读者:obj
1374|植物:subj 打出:verb 外长:obj
1375|眉头:subj 打败:verb 屋子:obj
1376|全家:subj 打击:verb 媒体:obj
1377|万物:subj 打听:verb 学员:obj
1378|物体:subj 开支:verb 公主:obj
1379|时机:subj 学问:verb 文物:obj
137|势头:subj 喝道:verb 文人:obj
1380|老子:subj 听听:verb 陌生:obj
1381|一家:subj 学说:verb 顺手:obj
1382|随机:subj 听听:verb 液体:obj
1383|旁人:subj 学府:verb 全长:obj
1384|总兵:subj 吃饭:verb 旅客:obj
1385|人工:subj 打扮:verb 国师:obj
1386|各人:subj 开来:verb 发生:obj
1387|笔者:subj 关键:verb 孩子:obj
1388|街头:subj 抓住:verb 码头:obj
1389|拱手:subj 抓住:verb 挥手:obj
138|屋子:subj 打断:verb 舌头:obj
1390|身体:subj 喝酒:verb 游客:obj
1391|危机:subj 推翻:verb 化工:obj
1392|球员:subj 打工:verb 天体:obj
1393|打工:subj 推荐:verb 兵器:obj
1394|兵器:subj 抓住:verb 杀人:obj
1395|动员:subj 打算:verb 整体:obj
1396|行人:subj 学员:verb 植物:obj
1397|外长:subj 说起:verb 军官:obj
1398|属性:subj 读者:verb 团长:obj
1399|父子:subj 开放:verb 莲子:obj
139|国民:subj 打倒:verb 法子:obj
13|校长:subj 抓住:verb 殖民:obj
1400|师长:subj 推行:verb 机器:obj
1401|在家:subj 吃饭:verb 全民:obj
1402|国家:subj 推广:verb 杀人:obj
1403|后者:subj 推开:verb 镜子:obj
1404|弹性:subj 写作:verb 最长:obj
1405|卫生:subj 学费:verb 寡头:obj
1406|手机:subj 推出:verb 旅客:obj
1407|特性:subj 看法:verb 一头:obj
1408|组长:subj 学派:verb 成人:obj
1409|本人:subj 走出:verb 时机:obj
140|令人:subj 读书:verb 见长:obj
1410|招生:subj 打开:verb 漫长:obj
1411|州长:subj 学者:verb 货物:obj
1412|双手:subj 开出:verb 主人:obj
1413|莲子:subj 吃惊:verb 教主:obj
1414|动物:subj 开展:verb 军师:obj
1415|地主:subj 开放:verb 山头:obj
1416|延长:subj 走过:verb 花生:obj
1417|大体:subj 学科:verb 家长:obj
1418|出生:subj 打量:verb 有人:obj
1419|为主:subj 关心:verb 人性:obj
141|飞机:subj 推进:verb 最长:obj
1420|父亲:subj 学科:verb 客人:obj
1421|晶体:subj 推进:verb 液体:obj
1422|球员:subj 打着:verb 桌子:obj
1423|万物:subj 开采:verb 椅子:obj
1424|记者:subj 开工:verb 弟子:obj
1425|本人:subj 关节:verb 屋子:obj
1426|着手:subj 推荐:verb 厂长:obj
1427|对手:subj 学说:verb 摇头:obj
1428|娘子:subj 开设:verb 前者:obj
1429|习性:subj 看法:verb 站长:obj
142|司机:subj 学士:verb 个人:obj
1430|乘机:subj 说来:verb 总体:obj
1431|随机:subj 打败:verb 队员:obj
1432|球员:subj 看看:verb 我家:obj
1433|最长:subj 推向:verb 尸体:obj
1434|君子:subj 学生:verb 开工:obj
1435|出生:subj 拉开:verb 仆人:obj
1436|职工:subj 看出:verb 躯体:obj
1437|市民:subj 拿来:verb 尸体:obj
1438|考生:subj 拿出:verb 面子:obj
1439|前者:subj 听说:verb 私人:obj
143|有人:subj 读书:verb 作物:obj
1440|动机:subj 吃饭:verb 平民:obj
1441|球员:subj 拉开:verb 老者:obj
1442|军官:subj 开设:verb 队员:obj
1443|众人:subj 关注:verb 官家:obj
1444|最长:subj 拿下:verb 读者:obj
1445|人物:subj 说话:verb 先生:obj
1446|各家:subj 打发:verb 房子:obj
1447|厂长:subj 推行:verb 野生:obj
1448|委员:subj 喝酒:verb 最长:obj
1449|教师:subj 学者:verb 官兵:obj
144|礼物:subj 打发:verb 有人:obj
1450|额头:subj 开出:verb 土家:obj
1451|骑兵:subj 学府:verb 顾客:obj
1452|军师:subj 推向:verb 个人:obj
1453|男子:subj 开门:verb 大体:obj
1454|局长:subj 打扮:verb 出兵:obj
1455|集体:subj 走来:verb 船长:obj
1456|索性:subj 开拓:verb 自主:obj
1457|各家:subj 推翻:verb 尸体:obj
1458|考生:subj 关键:verb 游客:obj
1459|帮主:subj 学位:verb 招生:obj
145|离子:subj 走进:verb 学生:obj
1460|县长:subj 打仗:verb 国家:obj
1461|天体:subj 说话:verb 黑人:obj
1462|液体:subj 开出:verb 学生:obj
1463|打工:subj 吃饭:verb 样子:obj
1464|身体:subj 打量:verb 额头:obj
1465|游客:subj 学校:verb 舌头:obj
1466|打工:subj 开创:verb 后者:obj
1467|网友:subj 看出:verb 卫生:obj
1468|食物:subj 学员:verb 移民:obj
1469|帮主:subj 关于:verb 记者:obj
146|礼物:subj 跳槽:verb 众人:obj
1470|电器:subj 学术:verb 胆子:obj
1471|女性:subj 学科:verb 脖子:obj
1472|君子:subj 打倒:verb 人物:obj
1473|心头:subj 写道:verb 影子:obj
1474|村子:subj 推进:verb 药物:obj
1475|网友:subj 拿出:verb 习性:obj
1476|见长:subj 开辟:verb 一生:obj
1477|物体:subj 看来:verb 出手:obj
1478|产物:subj 学员:verb 二者:obj
1479|僧人:subj 走私:verb 或者:obj
147|用人:subj 开来:verb 最长:obj
1480|仆人:subj 开展:verb 京师:obj
1481|最长:subj 写成:verb 动员:obj
1482|庭长:subj 推送:verb 作家:obj
1483|对手:subj 听取:verb 丫头:obj
1484|长子:subj 打击:verb 礼物:obj
1485|乘机:subj 拿下:verb 木工:obj
1486|学者:subj 开来:verb 别人:obj
1487|流体:subj 看到:verb 杀人:obj
1488|群体:subj 推进:verb 用人:obj
1489|军长:subj 走出:verb 寡头:obj
148|发生:subj 推向:verb 索性:obj
1490|孔子:subj 打击:verb 居民:obj
1491|委员:subj 写作:verb 骨头:obj
1492|柱子:subj 走廊:verb 汉人:obj
1493|植物:subj 推翻:verb 法官:obj
1494|教主:subj 看出:verb 公子:obj
1495|儿子:subj 写道:verb 惊人:obj
1496|死者:subj 跳槽:verb 延长:obj
1497|老头:subj 拿下:verb 货物:obj
1498|丫头:subj 推出:verb 尸体:obj
1499|女人:subj 学士:verb 敌人:obj
149|罢工:subj 看着:verb 记者:obj
14|人性:subj 学校:verb 富人:obj
1500|公子:subj 写作:verb 机体:obj
1501|选手:subj 学科:verb 见长:obj
1502|工匠:subj 开创:verb 笔者:obj
1503|妻子:subj 推动:verb 地主:obj
1504|工具:subj 关于:verb 乐器:obj
1505|公子:subj 关心:verb 两家:obj
1506|团子:subj 关系:verb 这家:obj
1507|野生:subj 打发:verb 母亲:obj
1508|男子:subj 写作:verb 首长:obj
1509|战机:subj 开辟:verb 粒子:obj
150|总体:subj 关键:verb 文物:obj
1510|转头:subj 打断:verb 龙头:obj
1511|帮主:subj 开来:verb 事物:obj
1512|躯体:subj 关节:verb 县长:obj
1513|眉头:subj 打扮:verb 时机:obj
1514|家长:subj 走私:verb 孩子:obj
1515|鼻子:subj 拿来:verb 抬头:obj
1516|急性:subj 抓住:verb 球员:obj
1517|病人:subj 开拓:verb 客人:obj
1518|分子:subj 走近:verb 本人:obj
1519|招生:subj 学者:verb 清兵:obj
151|军官:subj 开会:verb 工具:obj
1520|肩头:subj 写道:verb 仆人:obj
1521|乐器:subj 开辟:verb 石头:obj
1522|事物:subj 看着:verb 总体:obj
1523|村民:subj 打击:verb 骑兵:obj
1524|团长:subj 走来:verb 亲人:obj
1525|院长:subj 把握:verb 两家:obj
1526|乡长:subj 关联:verb 战友:obj
1527|或者:subj 开创:verb 娘子:obj
1528|长子:subj 推送:verb 额头:obj
1529|民兵:subj 听取:verb 加工:obj
152|总兵:subj 开拓:verb 各家:obj
1530|食物:subj 开国:verb 理性:obj
1531|两家:subj 拉开:verb 势头:obj
1532|产生:subj 说起:verb 卫生:obj
1533|孙子:subj 推广:verb 顺手:obj
1534|妇人:subj 开采:verb 官家:obj
1535|脑子:subj 看着:verb 野生:obj
1536|一体:subj 走来:verb 有机:obj
1537|商人:subj 开通:verb 政体:obj
1538|娘子:subj 学历:verb 索性:obj
1539|党员:subj 推开:verb 画家:obj
153|家具:subj 推行:verb 食物:obj
1540|大体:subj 学科:verb 随手:obj
1541|延长:subj 开出:verb 食物:obj
1542|肩头:subj 打发:verb 军师:obj
1543|员工:subj 读者:verb 自主:obj
1544|习性:subj 开会:verb 嗓子:obj
1545|离子:subj 开创:verb 门人:obj
1546|军师:subj 拿下:verb 原子:obj
1547|全体:subj 学问:verb 购物:obj
1548|家长:subj 拿来:verb 作家:obj
1549|特性:subj 开封:verb 罢工:obj
154|个人:subj 开展:verb 人民:obj
1550|伸手:subj 关联:verb 妹子:obj
1551|黄家:subj 把握:verb 个体:obj
1552|粒子:subj 走廊:verb 动物:obj
1553|各家:subj 开放:verb 急性:obj
1554|队员:subj 学说:verb 团子:obj
1555|漫长:subj 学科:verb 挥手:obj
1556|擅长:subj 听说:verb 陶器:obj
1557|兵器:subj 开拓:verb 码头:obj
1558|势头:subj 学派:verb 杀人:obj
1559|成人:subj 走近:verb 行人:obj
155|陶器:subj 学术:verb 出兵:obj
1560|出生:subj 写下:verb 官员:obj
1561|一手:subj 说法:verb 动机:obj
1562|躯体:subj 打败:verb 村子:obj
1563|司长:subj 走过:verb 机器:obj
1564|肚子:subj 看作:verb 产物:obj
1565|组长:subj 学者:verb 右手:obj
1566|石头:subj 学院:verb 妻子:obj
1567|人民:subj 关节:verb 码头:obj
1568|属性:subj 开来:verb 舌头:obj
1569|组长:subj 写作:verb 全长:obj
156|飞机:subj 推动:verb 日子:obj
1570|延长:subj 读书:verb 州长:obj
1571|病人:subj 把握:verb 行者:obj
1572|回家:subj 看作:verb 眉头:obj
1573|鼻子:subj 走过:verb 胡子:obj
1574|死者:subj 学府:verb 考生:obj
1575|各人:subj 走路:verb 顾客:obj
1576|演员:subj 说来:verb 汉人:obj
